"index";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"price";"ppi"
92;"Acer";"Notebook";15.6;"medium";1920;1080;0;"1.80";2;"HDD";1024;0;"Nvidia";" GeForce MX150";"windows";2;36710;141
93;"HP";"Notebook";13.3;"small";1920;1080;0;"1.80";16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";16;63776;166
94;"Dell";"Gaming";15.6;"medium";1920;1080;0;"2.50";8;"SSD";256;0;"Nvidia";" GeForce GTX 1060";"windows";8;63670;141
95;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"2.70";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;55891;157
96;"Acer";"2 in 1 Convertible";13.3;"small";1920;1080;1;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;45128;166
97;"Dell";"Notebook";15.6;"medium";1920;1080;0;"2.70";8;"HDD";1024;0;"AMD";" Radeon R5 M430";"linux";8;31963;141
98;"Dell";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"SSD";256;0;"AMD";" Radeon R5 M430";"linux";4;25841;141
99;"Asus";"Notebook";15.6;"medium";1920;1080;0;"2.40";6;"SSD";256;0;"Nvidia";" GeForce 920M";"windows";6;30743;141
100;"HP";"Gaming";15.6;"medium";1920;1080;0;"2.80";12;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";12;66547;141
101;"HP";"Notebook";15.6;"medium";1920;1080;0;"2.70";8;"SSD";256;0;"AMD";" Radeon 530";"windows";8;38308;141
102;"HP";"Notebook";15.6;"medium";1920;1080;0;"1.50";4;"HDD";500;0;"AMD";" Radeon R2";"windows";4;18595;141
103;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.60";8;"HDD";1024;0;"AMD";" Radeon 520";"linux";8;34472;141
104;"HP";"Ultrabook";13.3;"small";1920;1080;0;"2.70";8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";8;59620;166
105;"Microsoft";"Ultrabook";13.5;"small";2256;1504;1;"2.50";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;71395;201
106;"HP";"Notebook";14.0;"medium";1920;1080;0;"2.50";6;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";6;35112;157
107;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";4;22106;141
108;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"2.70";8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";8;63563;157
109;"MSI";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";16;69211;141
110;"Lenovo";"Notebook";14.0;"medium";1920;1080;0;"2.70";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;78854;157
111;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;"1.80";16;"Hybrid";256;1024;"Nvidia";" GeForce MX150";"windows";16;67239;141
112;"Dell";"Ultrabook";13.3;"small";3200;1800;1;"2.40";8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"windows";8;73473;276
113;"Lenovo";"2 in 1 Convertible";13.3;"small";1920;1080;1;"2.50";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;74539;166
114;"HP";"Notebook";14.0;"medium";1366;768;0;"1.60";4;"HDD";500;0;"Intel";" UHD Graphics 620";"windows";4;38468;112
0;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;52161;166
117;"HP";"Notebook";14.0;"medium";1920;1080;0;"1.80";8;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";8;57756;157
118;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.80";8;"Hybrid";256;1024;"Nvidia";" GeForce 940MX";"windows";8;60224;141
119;"Asus";"Notebook";17.3;"large";1920;1080;0;"2.00";4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"windows";4;30050;127
120;"Asus";"Notebook";15.6;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";8;59567;141
121;"Acer";"Notebook";15.6;"medium";1920;1080;1;"2.40";6;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";6;25521;141
122;"MSI";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"windows";16;119427;141
123;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.50";8;"SSD";256;0;"Nvidia";" GeForce 940MX";"N/A";8;33513;141
124;"HP";"Notebook";17.3;"large";1920;1080;0;"1.80";16;"SSD";512;0;"Nvidia";" GeForce 930MX ";"windows";16;67719;127
0;"Acer";"Notebook";15.6;"medium";1366;768;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;52161;100
127;"HP";"Notebook";14.0;"medium";1920;1080;0;"1.60";8;"HDD";1024;0;"Intel";" UHD Graphics 620";"windows";8;43263;157
128;"Asus";"Notebook";14.0;"medium";1366;768;0;"1.50";4;"SSD";64;0;"AMD";" Radeon R2";"windows";4;14811;112
129;"Dell";"Notebook";17.3;"large";1920;1080;0;"1.80";16;"Hybrid";256;2048;"AMD";" Radeon 530";"windows";16;74379;127
130;"HP";"Notebook";17.3;"large";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;49444;127
131;"Dell";"Notebook";15.6;"medium";1366;768;0;"2.50";8;"HDD";1024;0;"AMD";" Radeon R7 M445";"windows";8;34045;100
132;"Dell";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"HDD";1024;0;"AMD";" Radeon R5 M430";"windows";4;23923;141
133;"Acer";"Ultrabook";14.0;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;47100;157
134;"Acer";"Notebook";15.6;"medium";1920;1080;0;"2.70";4;"SSD";256;0;"Nvidia";" GeForce MX130";"windows";4;30476;141
135;"HP";"Notebook";15.6;"medium";1366;768;0;"2.70";8;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";8;31861;100
136;"HP";"Notebook";14.0;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;52641;157
137;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"1.10";4;"HDD";1024;0;"Intel";" HD Graphics 500";"N/A";4;13446;100
138;"Asus";"Gaming";17.3;"large";1920;1080;0;"2.50";8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";8;49977;127
139;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.50";4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"N/A";4;26587;141
140;"HP";"Notebook";13.3;"small";1920;1080;0;"2.50";4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";4;37243;166
141;"Acer";"Notebook";17.3;"large";1920;1080;0;"2.70";4;"HDD";1024;0;"Nvidia";" GeForce MX130";"windows";4;34898;127
142;"Lenovo";"Notebook";14.0;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"AMD";" Radeon RX 550";"windows";8;59462;157
143;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"2.80";8;"SSD";256;0;"Nvidia";" GeForce GTX 1050M";"N/A";8;46300;141
144;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"2.30";4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";4;32075;100
145;"HP";"Notebook";15.6;"medium";1366;768;0;"2.50";4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"windows";4;19660;100
146;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;58555;157
147;"HP";"Ultrabook";12.5;"small";3840;2160;1;"1.20";8;"SSD";512;0;"Intel";" HD Graphics 515";"windows";8;107306;352
0;"Asus";"Notebook";15.6;"medium";1920;1080;0;"1.60";8;"HDD";1024;0;"Intel";" UHD Graphics 620";"windows";8;52161;141
150;"Acer";"Notebook";15.6;"medium";1366;768;0;"2.00";4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";4;23816;100
151;"Dell";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"SSD";512;0;"Nvidia";" GeForce GTX 1050";"windows";16;66561;141
152;"Dell";"Gaming";15.6;"medium";1920;1080;0;"2.80";8;"Hybrid";1024;0;"Nvidia";" GeForce GTX 1050";"windows";8;47899;141
153;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"2.50";4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";4;26533;100
154;"MSI";"Gaming";17.3;"large";1920;1080;0;"2.80";16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";16;100699;127
155;"HP";"Ultrabook";14.0;"medium";1920;1080;0;"2.70";4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";4;57649;157
156;"HP";"Notebook";15.6;"medium";1920;1080;0;"1.60";6;"SSD";256;0;"AMD";" Radeon 520";"windows";6;32980;141
157;"Lenovo";"2 in 1 Convertible";14.0;"medium";1920;1080;1;"2.40";4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";4;33513;157
158;"Asus";"2 in 1 Convertible";13.3;"small";1920;1080;1;"1.60";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;70063;166
159;"Dell";"2 in 1 Convertible";15.6;"medium";1920;1080;1;"1.80";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;55891;141
160;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"2.20";4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";4;23816;100
161;"Asus";"Notebook";15.6;"medium";1366;768;0;"3.00";4;"HDD";1024;0;"AMD";" Radeon R5 M420";"windows";4;21472;100
162;"Acer";"Notebook";17.3;"large";1920;1080;0;"1.60";4;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";4;42890;127
163;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"AMD";" Radeon 520";"windows";8;38788;141
164;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"SSD";256;0;"Nvidia";" GeForce GTX 1050 Ti";"windows";16;57489;141
165;"Acer";"Notebook";15.6;"medium";1366;768;0;"1.10";4;"HDD";1024;0;"Intel";" HD Graphics 500";"windows";4;18541;100
166;"MSI";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";16;95851;141
167;"Acer";"Notebook";15.6;"medium";1366;768;0;"1.10";4;"HDD";1024;0;"Intel";" HD Graphics 505";"windows";4;19368;100
168;"Dell";"Gaming";15.6;"medium";1920;1080;0;"2.80";8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";8;56503;141
169;"Acer";"Notebook";17.3;"large";1920;1080;0;"1.60";8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";8;45501;127
170;"HP";"Notebook";13.3;"small";1920;1080;0;"1.60";4;"HDD";500;0;"Intel";" UHD Graphics 620";"windows";4;40173;166
171;"Huawei";"Ultrabook";13.0;"small";2160;1440;0;"2.50";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;71875;200
172;"HP";"Notebook";17.3;"large";1920;1080;0;"2.50";6;"HDD";2048;0;"AMD";" Radeon 520";"windows";6;37243;127
173;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"2.90";4;"HDD";500;0;"AMD";" Radeon R4 Graphics";"N/A";4;16464;100
174;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"2.40";4;"HDD";500;0;"Intel";" HD Graphics 620";"windows";4;26054;100
175;"HP";"Notebook";17.3;"large";1920;1080;0;"1.60";8;"SSD";256;0;"Nvidia";" GeForce 930MX";"windows";8;49177;127
176;"Dell";"Notebook";15.6;"medium";1366;768;0;"2.40";8;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";8;24456;100
177;"Acer";"Notebook";15.6;"medium";1366;768;0;"2.00";4;"SSD";128;0;"Intel";" HD Graphics 520";"windows";4;23923;100
178;"MSI";"Gaming";18.4;"large";1920;1080;0;"2.90";32;"Hybrid";512;1024;"Nvidia";" GTX 980 SLI";"windows";32;149131;120
179;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.50";8;"Hybrid";128;1024;"AMD";" R17M-M1-70";"windows";8;43317;141
180;"HP";"2 in 1 Convertible";13.3;"small";3840;2160;1;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;79867;331
181;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.80";16;"Hybrid";256;2048;"AMD";" Radeon 530";"linux";16;55891;141
182;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;74539;166
183;"Lenovo";"2 in 1 Convertible";13.9;"small";3840;2160;1;"1.80";16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";16;98515;317
184;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"2.50";8;"SSD";128;0;"Intel";" HD Graphics 620";"windows";8;42251;100
185;"Xiaomi";"Notebook";15.6;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"Nvidia";" GeForce MX150";"N/A";8;63883;141
186;"Dell";"Notebook";17.3;"large";1920;1080;1;"1.80";16;"SSD";512;0;"Nvidia";" GeForce 150MX";"windows";16;82531;127
187;"Dell";"Notebook";15.6;"medium";3840;2160;1;"2.80";16;"SSD";512;0;"Nvidia";" GeForce GTX 1050";"windows";16;127712;282
188;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"2.50";8;"SSD";256;0;"Nvidia";" GeForce GTX 1050";"N/A";8;41505;141
189;"Acer";"Ultrabook";13.3;"small";1920;1080;0;"1.20";8;"SSD";256;0;"Intel";" HD Graphics 615";"windows";8;52694;166
0;"Dell";"Notebook";17.3;"large";1920;1080;0;"1.60";8;"Hybrid";128;1024;"Intel";" UHD Graphics 620";"windows";8;52161;127
192;"Vero";"Notebook";14.0;"medium";1920;1080;0;"1.10";4;"Flash Storage";32;0;"Intel";" HD Graphics 500";"windows";4;13853;157
193;"Xiaomi";"Ultrabook";13.3;"small";1920;1080;0;"2.50";8;"SSD";256;0;"Nvidia";" GeForce MX150";"N/A";8;53275;166
194;"Lenovo";"Notebook";17.3;"large";1600;900;0;"1.60";8;"SSD";256;0;"Nvidia";" GeForce MX150";"N/A";8;37189;106
